




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Stone Church                  1150                          642                           55.83%
University                    704                           334                           47.44%
Morrison                      1329                          592                           44.54%
Abel                          938                           370                           39.45%
Calhoun                       1161                          432                           37.21%
Clemson                       1766                          989                           56.00%
Issaqueena                    783                           423                           54.02%
West Central                  983                           298                           30.32%
North Central                 1014                          532                           52.47%
Pike                          963                           513                           53.27%
Lawrence Chapel               1190                          666                           55.97%
Norris                        1102                          582                           52.81%
Six Mile                      1346                          738                           54.83%
Six Mile Mountain             1411                          748                           53.01%
Praters Creek                 847                           444                           52.42%
Mountain View                 1505                          666                           44.25%
Albert R. Lewis               1207                          646                           53.52%
Holly Springs                 1459                          768                           52.64%
Pumpkintown                   1402                          809                           57.70%
Griffin                       1382                          779                           56.37%
North Pickens                 1258                          610                           48.49%
West Pickens                  1279                          619                           48.40%
South Pickens                 1097                          485                           44.21%
East Pickens                  1174                          616                           52.47%
Glassy Mountain               1173                          559                           47.66%
Cedar Rock                    1196                          616                           51.51%
Skelton                       1084                          571                           52.68%
Rices Creek                   1181                          592                           50.13%
West Liberty                  1192                          628                           52.68%
East Liberty                  1081                          526                           48.66%
Flat Rock                     1202                          628                           52.25%
Zion                          1133                          528                           46.60%
Smith Grove                   889                           371                           41.73%
Arial Mill                    996                           452                           45.38%
Simpson                       1100                          386                           35.09%
Woodside                      1443                          673                           46.64%
Brushy Creek                  1572                          814                           51.78%
Pickensville                  1028                          502                           48.83%
Easley                        1178                          519                           44.06%
Forest Acres                  991                           542                           54.69%
Crestview                     1165                          656                           56.31%
Sitton                        1344                          752                           55.95%
Rock Springs                  1286                          643                           50.00%
Saluda                        1112                          539                           48.47%
Crosswell                     1386                          679                           48.99%
Georges Creek                 1025                          572                           55.80%
McKissick                     1223                          579                           47.34%
Vinland                       1013                          497                           49.06%
Crossroads                    1220                          507                           41.56%
Dacusville                    1034                          384                           37.14%
Nine Forks                    1174                          566                           48.21%
South Central                 1104                          451                           40.85%
Crescent Hill                 1244                          585                           47.03%
North Liberty                 1083                          480                           44.32%
Pendleton                     986                           462                           46.86%
Fruit Mountain                868                           348                           40.09%
Pope Field                    939                           421                           44.83%
Sheffield                     1340                          738                           55.07%
Tri County                    550                           326                           59.27%
McAllister                    1138                          517                           45.43%
Lenhart                       1019                          446                           43.77%
Absentee                      0                             3786                          0.00%
Emergency                     0                             708                           0.00%
Failsafe                      0                             60                            0.00%
Provisional                   0                             68                            0.00%
Failsafe Provisional          0                             36                            0.00%
Total:                        70142                         39014                         55.62%

                                                                                                                                                                                                     STRAIGHT PARTY (Vote For 1)
                                                            Democratic                                                  Working Families                                            United Citizens                                             Green                                                       Republican                                                  American                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Griffin                       1382                          108                           108                           652                           652                           15                            15                            0                             0                             775                           
North Pickens                 1258                          80                            80                            518                           518                           8                             8                             0                             0                             606                           
West Pickens                  1279                          105                           105                           495                           495                           9                             9                             2                             2                             611                           
South Pickens                 1097                          130                           130                           347                           347                           4                             4                             0                             0                             481                           
East Pickens                  1174                          57                            57                            546                           546                           8                             8                             0                             0                             611                           
Glassy Mountain               1173                          52                            52                            492                           492                           8                             8                             1                             1                             553                           
Cedar Rock                    1196                          92                            92                            518                           518                           4                             4                             0                             0                             614                           
Skelton                       1084                          57                            57                            508                           508                           4                             4                             0                             0                             569                           
Rices Creek                   1181                          98                            98                            481                           481                           8                             8                             1                             1                             588                           
West Liberty                  1192                          99                            99                            513                           513                           9                             9                             1                             1                             622                           
East Liberty                  1081                          84                            84                            431                           431                           7                             7                             0                             0                             522                           
Flat Rock                     1202                          92                            92                            518                           518                           13                            13                            1                             1                             624                           
Zion                          1133                          89                            89                            429                           429                           7                             7                             0                             0                             525                           
Smith Grove                   889                           80                            80                            285                           285                           3                             3                             0                             0                             368                           
Arial Mill                    996                           77                            77                            367                           367                           4                             4                             0                             0                             448                           
Simpson                       1100                          209                           209                           165                           165                           7                             7                             0                             0                             381                           
Woodside                      1443                          211                           211                           447                           447                           11                            11                            0                             0                             669                           
Brushy Creek                  1572                          201                           201                           596                           596                           9                             9                             1                             1                             807                           
Pickensville                  1028                          121                           121                           371                           371                           7                             7                             0                             0                             499                           
Easley                        1178                          131                           131                           367                           367                           17                            17                            0                             0                             515                           
Forest Acres                  991                           139                           139                           391                           391                           8                             8                             0                             0                             538                           
Crestview                     1165                          110                           110                           537                           537                           5                             5                             1                             1                             653                           
Sitton                        1344                          154                           154                           585                           585                           7                             7                             0                             0                             746                           
Rock Springs                  1286                          133                           133                           504                           504                           5                             5                             0                             0                             642                           
Saluda                        1112                          133                           133                           395                           395                           7                             7                             0                             0                             535                           
Crosswell                     1386                          107                           107                           552                           552                           12                            12                            1                             1                             672                           
Georges Creek                 1025                          131                           131                           432                           432                           5                             5                             1                             1                             569                           
McKissick                     1223                          150                           150                           423                           423                           3                             3                             0                             0                             576                           
Vinland                       1013                          67                            67                            423                           423                           6                             6                             0                             0                             496                           
Crossroads                    1220                          71                            71                            419                           419                           11                            11                            0                             0                             501                           
Dacusville                    1034                          50                            50                            324                           324                           6                             6                             0                             0                             380                           
Nine Forks                    1174                          60                            60                            492                           492                           9                             9                             0                             0                             561                           
South Central                 1104                          198                           198                           230                           230                           16                            16                            1                             1                             445                           
Crescent Hill                 1244                          63                            63                            505                           505                           8                             8                             1                             1                             577                           
North Liberty                 1083                          82                            82                            388                           388                           7                             7                             1                             1                             478                           
Pendleton                     986                           60                            60                            391                           391                           9                             9                             0                             0                             460                           
Fruit Mountain                868                           73                            73                            271                           271                           2                             2                             0                             0                             346                           
Pope Field                    939                           114                           114                           298                           298                           6                             6                             0                             0                             418                           
Sheffield                     1340                          132                           132                           593                           593                           7                             7                             1                             1                             733                           
Tri County                    550                           88                            88                            228                           228                           3                             3                             0                             0                             319                           
McAllister                    1138                          114                           114                           392                           392                           6                             6                             0                             0                             512                           
Lenhart                       1019                          104                           104                           329                           329                           8                             8                             1                             1                             442                           
Absentee                      0                             1173                          1173                          2554                          2554                          31                            31                            3                             3                             3761                          
Emergency                     0                             124                           124                           571                           571                           8                             8                             1                             1                             704                           
Failsafe                      0                             14                            14                            42                            42                            3                             3                             0                             0                             59                            
Provisional                   0                             20                            20                            46                            46                            1                             1                             0                             0                             67                            
Failsafe Provisional          0                             11                            11                            25                            25                            0                             0                             0                             0                             36                            
Totals:                       70142                         9333                          9333                          28814                         28814                         540                           540                           25                            25                            38712                         

                                                                             State  House of Representatives, District  3 (Vote For 1)
                                                            Gary Clary                                                  Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Stone Church                  1150                          448                           448                           20                            20                            468                           
University                    704                           252                           252                           7                             7                             259                           
Morrison                      1329                          423                           423                           19                            19                            442                           
Abel                          938                           209                           209                           12                            12                            221                           
Calhoun                       1161                          286                           286                           18                            18                            304                           
Clemson                       1766                          754                           754                           13                            13                            767                           
Issaqueena                    783                           287                           287                           10                            10                            297                           
West Central                  983                           219                           219                           7                             7                             226                           
North Central                 1014                          431                           431                           10                            10                            441                           
Pike                          963                           375                           375                           12                            12                            387                           
Lawrence Chapel               1190                          566                           566                           11                            11                            577                           
Norris                        1102                          450                           450                           5                             5                             455                           
Six Mile                      1346                          680                           680                           9                             9                             689                           
Six Mile Mountain             1411                          660                           660                           13                            13                            673                           
Mountain View                 1505                          350                           350                           3                             3                             353                           
Albert R. Lewis               1207                          93                            93                            0                             0                             93                            
Flat Rock                     1202                          105                           105                           5                             5                             110                           
South Central                 1104                          298                           298                           19                            19                            317                           
Absentee                      0                             660                           660                           26                            26                            686                           
Emergency                     0                             0                             0                             0                             0                             0                             
Failsafe                      0                             7                             7                             1                             1                             8                             
Provisional                   0                             23                            23                            0                             0                             23                            
Totals:                       20858                         7576                          7576                          220                           220                           7796                          

                                                                             State  House of Representatives, District  4 (Vote For 1)
                                                            Davey Hiott                                                 Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Norris                        1102                          64                            64                            0                             0                             64                            
Praters Creek                 847                           406                           406                           4                             4                             410                           
Mountain View                 1505                          240                           240                           0                             0                             240                           
Albert R. Lewis               1207                          502                           502                           4                             4                             506                           
Holly Springs                 1459                          670                           670                           11                            11                            681                           
Pumpkintown                   1402                          681                           681                           13                            13                            694                           
Griffin                       1382                          703                           703                           9                             9                             712                           
North Pickens                 1258                          562                           562                           5                             5                             567                           
West Pickens                  1279                          541                           541                           9                             9                             550                           
South Pickens                 1097                          399                           399                           5                             5                             404                           
East Pickens                  1174                          586                           586                           6                             6                             592                           
Glassy Mountain               1173                          352                           352                           2                             2                             354                           
Skelton                       1084                          531                           531                           4                             4                             535                           
Rices Creek                   1181                          524                           524                           4                             4                             528                           
West Liberty                  1192                          562                           562                           2                             2                             564                           
East Liberty                  1081                          463                           463                           7                             7                             470                           
Arial Mill                    996                           396                           396                           6                             6                             402                           
Crossroads                    1220                          441                           441                           6                             6                             447                           
Dacusville                    1034                          348                           348                           4                             4                             352                           
Nine Forks                    1174                          515                           515                           10                            10                            525                           
Crescent Hill                 1244                          541                           541                           8                             8                             549                           
North Liberty                 1083                          417                           417                           5                             5                             422                           
Absentee                      0                             1162                          1162                          22                            22                            1184                          
Emergency                     0                             238                           238                           6                             6                             244                           
Failsafe                      0                             23                            23                            0                             0                             23                            
Provisional                   0                             16                            16                            0                             0                             16                            
Totals:                       26174                         11883                         11883                         152                           152                           12035                         

                                                                             State  House of Representatives, District  5 (Vote For 1)
                                                            Neal Collins                                                Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Glassy Mountain               1173                          164                           164                           3                             3                             167                           
Cedar Rock                    1196                          542                           542                           17                            17                            559                           
Flat Rock                     1202                          452                           452                           8                             8                             460                           
Zion                          1133                          460                           460                           10                            10                            470                           
Smith Grove                   889                           308                           308                           12                            12                            320                           
Simpson                       1100                          222                           222                           9                             9                             231                           
Woodside                      1443                          531                           531                           26                            26                            557                           
Brushy Creek                  1572                          655                           655                           26                            26                            681                           
Pickensville                  1028                          412                           412                           19                            19                            431                           
Easley                        1178                          423                           423                           14                            14                            437                           
Forest Acres                  991                           451                           451                           9                             9                             460                           
Crestview                     1165                          583                           583                           11                            11                            594                           
Sitton                        1344                          640                           640                           15                            15                            655                           
Rock Springs                  1286                          532                           532                           17                            17                            549                           
Georges Creek                 1025                          473                           473                           15                            15                            488                           
McKissick                     1223                          474                           474                           9                             9                             483                           
Vinland                       1013                          447                           447                           5                             5                             452                           
Pendleton                     986                           416                           416                           8                             8                             424                           
Fruit Mountain                868                           289                           289                           13                            13                            302                           
Pope Field                    939                           345                           345                           6                             6                             351                           
Sheffield                     1340                          646                           646                           21                            21                            667                           
Tri County                    550                           109                           109                           2                             2                             111                           
McAllister                    1138                          435                           435                           14                            14                            449                           
Lenhart                       1019                          365                           365                           8                             8                             373                           
Absentee                      0                             992                           992                           31                            31                            1023                          
Emergency                     0                             224                           224                           5                             5                             229                           
Failsafe                      0                             16                            16                            1                             1                             17                            
Provisional                   0                             11                            11                            0                             0                             11                            
Totals:                       26801                         11617                         11617                         334                           334                           11951                         

                                                                                                           State  House of Representatives, District  10 (Vote For 1)
                                                            Lucy Hoffman                                                West Cox                                                    Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Saluda                        1112                          135                           135                           401                           401                           0                             0                             536                           
Crosswell                     1386                          117                           117                           554                           554                           1                             1                             672                           
Tri County                    550                           41                            41                            136                           136                           0                             0                             177                           
Absentee                      0                             19                            19                            83                            83                            0                             0                             102                           
Emergency                     0                             0                             0                             0                             0                             0                             0                             0                             
Failsafe                      0                             0                             0                             2                             2                             0                             0                             2                             
Provisional                   0                             2                             2                             2                             2                             0                             0                             4                             
Totals:                       3048                          314                           314                           1178                          1178                          1                             1                             1493                          

                                                                                                           Solicitor Circuit 13 (Vote For 1)
                                                            Walt Wilkins                                                Lucas C Marchant                                            Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Stone Church                  1150                          306                           306                           225                           225                           6                             6                             537                           
University                    704                           170                           170                           104                           104                           4                             4                             278                           
Morrison                      1329                          274                           274                           230                           230                           1                             1                             505                           
Abel                          938                           125                           125                           149                           149                           4                             4                             278                           
Calhoun                       1161                          208                           208                           157                           157                           2                             2                             367                           
Clemson                       1766                          548                           548                           294                           294                           3                             3                             845                           
Issaqueena                    783                           201                           201                           143                           143                           0                             0                             344                           
West Central                  983                           165                           165                           87                            87                            2                             2                             254                           
North Central                 1014                          372                           372                           98                            98                            2                             2                             472                           
Pike                          963                           296                           296                           140                           140                           3                             3                             439                           
Lawrence Chapel               1190                          475                           475                           134                           134                           2                             2                             611                           
Norris                        1102                          476                           476                           65                            65                            1                             1                             542                           
Six Mile                      1346                          623                           623                           79                            79                            1                             1                             703                           
Six Mile Mountain             1411                          584                           584                           111                           111                           1                             1                             696                           
Praters Creek                 847                           368                           368                           54                            54                            1                             1                             423                           
Mountain View                 1505                          535                           535                           76                            76                            2                             2                             613                           
Albert R. Lewis               1207                          536                           536                           81                            81                            1                             1                             618                           
Holly Springs                 1459                          599                           599                           129                           129                           1                             1                             729                           
Pumpkintown                   1402                          577                           577                           179                           179                           4                             4                             760                           
Griffin                       1382                          601                           601                           147                           147                           0                             0                             748                           
North Pickens                 1258                          498                           498                           90                            90                            1                             1                             589                           
West Pickens                  1279                          475                           475                           95                            95                            3                             3                             573                           
South Pickens                 1097                          334                           334                           92                            92                            0                             0                             426                           
East Pickens                  1174                          495                           495                           103                           103                           0                             0                             598                           
Glassy Mountain               1173                          477                           477                           57                            57                            1                             1                             535                           
Cedar Rock                    1196                          484                           484                           99                            99                            1                             1                             584                           
Skelton                       1084                          473                           473                           77                            77                            1                             1                             551                           
Rices Creek                   1181                          477                           477                           76                            76                            0                             0                             553                           
