




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
ANTIOCH                       1851                          1274                          68.83%
AUBURN                        729                           481                           65.98%
BETHEL                        756                           520                           68.78%
BLACK CREEK-CLYDE             1271                          885                           69.63%
BURNT BRANCH                  772                           561                           72.67%
Darlington No. 1              407                           231                           56.76%
Darlington No. 2              1679                          1045                          62.24%
Darlington No. 4              1623                          1056                          65.06%
Darlington No. 5              1949                          1215                          62.34%
DOVESVILLE                    1630                          1139                          69.88%
Hartsville No. 1              1346                          981                           72.88%
Hartsville No. 4              1051                          590                           56.14%
Hartsville No. 5              2554                          1746                          68.36%
Hartsville No. 6              1755                          1032                          58.80%
Hartsville No. 7              1197                          684                           57.14%
Hartsville No. 8              2831                          2069                          73.08%
HIGH HILL                     2844                          1870                          65.75%
INDIAN BRANCH                 661                           473                           71.56%
KELLEYTOWN                    1972                          1476                          74.85%
LAKE SWAMP                    1405                          994                           70.75%
Lamar No. 1                   892                           625                           70.07%
Lamar No. 2                   1625                          1149                          70.71%
LYDIA                         750                           500                           66.67%
MECHANICSVILLE                1858                          1268                          68.25%
NEW MARKET                    1097                          776                           70.74%
OATES                         1023                          759                           74.19%
PALMETTO                      2051                          1440                          70.21%
SOCIETY HILL                  816                           552                           67.65%
SWIFT CREEK                   994                           677                           68.11%
Darlington No. 3              2975                          2155                          72.44%
Darlington No. 6              1811                          1192                          65.82%
Hartsville No. 9              1859                          1228                          66.06%
Failsafe                      0                             0                             0.00%
Provisional                   0                             39                            0.00%
Failsafe Provisional          0                             7                             0.00%
Total:                        48034                         32689                         68.05%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             4                             0                             4                             0                             0                             0                             0                             0                             0                             0                             4                             
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       4895                          925                           996                           151                           0                             4                             0                             2076                          35                            37                            8                             0                             0                             0                             80                            2156                          

                                                                                                                                                                                                                                   State  House of Representatives, District  65 (Vote For 1)
                                                            REP Jay Lucas                                                                                                                                                                                                     Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
BLACK CREEK-CLYDE             1271                          505                           201                           39                            0                             0                             0                             745                           6                             6                             0                             0                             0                             0                             12                            757                           
BURNT BRANCH                  772                           233                           188                           25                            0                             0                             0                             446                           3                             2                             0                             0                             0                             0                             5                             451                           
Hartsville No. 1              1346                          350                           378                           108                           0                             0                             0                             836                           4                             11                            4                             0                             0                             0                             19                            855                           
Hartsville No. 5              2554                          494                           618                           179                           0                             0                             0                             1291                          12                            11                            7                             0                             0                             0                             30                            1321                          
Hartsville No. 8              2831                          874                           783                           159                           0                             0                             0                             1816                          8                             15                            1                             0                             0                             0                             24                            1840                          
KELLEYTOWN                    1972                          589                           573                           150                           0                             0                             0                             1312                          8                             8                             0                             0                             0                             0                             16                            1328                          
NEW MARKET                    1097                          486                           197                           31                            0                             0                             0                             714                           2                             2                             1                             0                             0                             0                             5                             719                           
Hartsville No. 9              1859                          431                           323                           63                            0                             0                             0                             817                           6                             7                             2                             0                             0                             0                             15                            832                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             10                            0                             10                            0                             0                             0                             0                             1                             0                             1                             11                            
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       13702                         3962                          3261                          754                           0                             10                            0                             7987                          49                            62                            15                            0                             1                             0                             127                           8114                          

                                                                                                                                                                                                                                                                                                                                            State  House of Representatives, District  54 (Vote For 1)
                                                            REP Sterling McDiarmid                                                                                                                                                                                            DEM Patricia Moore Pat Henegan                                                                                                                                                                                    Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
ANTIOCH                       1851                          476                           226                           46                            0                             0                             0                             748                           175                           261                           72                            0                             0                             0                             508                           2                             1                             0                             0                             0                             0                             3                             1259                          
SOCIETY HILL                  816                           124                           34                            20                            0                             0                             0                             178                           216                           114                           40                            0                             0                             0                             370                           0                             0                             0                             0                             0                             0                             0                             548                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             4                             0                             4                             0                             0                             0                             0                             2                             0                             2                             0                             0                             0                             0                             0                             0                             0                             6                             
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       2667                          600                           260                           66                            0                             4                             0                             930                           391                           375                           112                           0                             2                             0                             880                           2                             1                             0                             0                             0                             0                             3                             1813                          

                                                                                                                                                                                                                                   State  House of Representatives, District  55 (Vote For 1)
                                                            DEM Jackie E Hayes                                                                                                                                                                                                Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
MECHANICSVILLE                1858                          165                           301                           63                            0                             0                             0                             529                           10                            6                             0                             0                             0                             0                             16                            545                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       1858                          165                           301                           63                            0                             0                             0                             529                           10                            6                             0                             0                             0                             0                             16                            545                           

                                                                                                                                                                                                                                   State  House of Representatives, District  62 (Vote For 1)
                                                            DEM Robert Williams                                                                                                                                                                                               Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
AUBURN                        729                           185                           199                           33                            0                             0                             0                             417                           8                             3                             1                             0                             0                             0                             12                            429                           
BETHEL                        756                           158                           160                           32                            0                             0                             0                             350                           6                             3                             0                             0                             0                             0                             9                             359                           
Darlington No. 1              407                           56                            89                            26                            0                             0                             0                             171                           1                             2                             0                             0                             0                             0                             3                             174                           
Darlington No. 2              1679                          260                           430                           104                           0                             0                             0                             794                           3                             6                             2                             0                             0                             0                             11                            805                           
Darlington No. 4              1623                          212                           464                           136                           0                             0                             0                             812                           5                             10                            0                             0                             0                             0                             15                            827                           
Darlington No. 5              1949                          294                           602                           186                           0                             0                             0                             1082                          2                             3                             0                             0                             0                             0                             5                             1087                          
DOVESVILLE                    1630                          358                           430                           77                            0                             0                             0                             865                           18                            7                             1                             0                             0                             0                             26                            891                           
Hartsville No. 4              1051                          174                           256                           49                            0                             0                             0                             479                           6                             2                             0                             0                             0                             0                             8                             487                           
Hartsville No. 6              1755                          177                           629                           199                           0                             0                             0                             1005                          1                             2                             0                             0                             0                             0                             3                             1008                          
Hartsville No. 7              1197                          162                           239                           45                            0                             0                             0                             446                           10                            5                             0                             0                             0                             0                             15                            461                           
HIGH HILL                     2844                          505                           612                           120                           0                             0                             0                             1237                          24                            34                            2                             0                             0                             0                             60                            1297                          
LAKE SWAMP                    1405                          133                           187                           51                            0                             0                             0                             371                           11                            2                             0                             0                             0                             0                             13                            384                           
LYDIA                         750                           227                           151                           19                            0                             0                             0                             397                           8                             0                             1                             0                             0                             0                             9                             406                           
PALMETTO                      2051                          151                           303                           87                            0                             0                             0                             541                           13                            6                             1                             0                             0                             0                             20                            561                           
SWIFT CREEK                   994                           88                            74                            12                            0                             0                             0                             174                           3                             6                             0                             0                             0                             0                             9                             183                           
Darlington No. 3              2975                          415                           850                           141                           0                             0                             0                             1406                          35                            33                            2                             0                             0                             0                             70                            1476                          
Darlington No. 6              1811                          303                           423                           85                            0                             0                             0                             811                           25                            12                            0                             0                             0                             0                             37                            848                           
Hartsville No. 9              1859                          47                            67                            10                            0                             0                             0                             124                           0                             2                             0                             0                             0                             0                             2                             126                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             11                            0                             11                            0                             0                             0                             0                             1                             0                             1                             12                            
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       27465                         3905                          6165                          1412                          0                             11                            0                             11493                         179                           138                           10                            0                             1                             0                             328                           11821                         

                                                                                                                                                                                                                                   State  House of Representatives, District  59 (Vote For 1)
                                                            DEM Terry Alexander                                                                                                                                                                                               Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
MECHANICSVILLE                1858                          133                           189                           44                            0                             0                             0                             366                           9                             4                             1                             0                             0                             0                             14                            380                           
PALMETTO                      2051                          164                           229                           43                            0                             0                             0                             436                           6                             6                             0                             0                             0                             0                             12                            448                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             1                             
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       3909                          297                           418                           87                            0                             1                             0                             803                           15                            10                            1                             0                             0                             0                             26                            829                           

                                                                                                                                                                                                                                                                                                                                            State  House of Representatives, District  60 (Vote For 1)
                                                            REP Phillip Lowe                                                                                                                                                                                                  DEM Teresa McGill Cain                                                                                                                                                                                            Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
INDIAN BRANCH                 661                           207                           100                           17                            0                             0                             0                             324                           53                            76                            13                            0                             0                             0                             142                           0                             0                             0                             0                             0                             0                             0                             466                           
LAKE SWAMP                    1405                          202                           83                            7                             0                             0                             0                             292                           59                            72                            16                            0                             0                             0                             147                           0                             0                             0                             0                             0                             0                             0                             439                           
Lamar No. 1                   892                           144                           53                            10                            0                             0                             0                             207                           192                           106                           114                           0                             0                             0                             412                           0                             0                             0                             0                             0                             0                             0                             619                           
Lamar No. 2                   1625                          471                           186                           29                            0                             0                             0                             686                           236                           120                           94                            0                             0                             0                             450                           1                             0                             0                             0                             0                             0                             1                             1137                          
OATES                         1023                          304                           147                           32                            0                             0                             0                             483                           135                           93                            38                            0                             0                             0                             266                           0                             0                             0                             0                             0                             0                             0                             749                           
SWIFT CREEK                   994                           141                           70                            11                            0                             0                             0                             222                           63                            68                            11                            0                             0                             0                             142                           0                             0                             0                             0                             0                             0                             0                             364                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             2                             0                             2                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             3                             
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       6600                          1469                          639                           106                           0                             2                             0                             2216                          738                           535                           286                           0                             1                             0                             1560                          1                             0                             0                             0                             0                             0                             1                             3777                          
